,dataset,samples,features,regressor,time,acc_score,ll_score,model
0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,AdaBoostClassifier,0.774027109,0.4975,0.693777083,
1,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,AdaBoostClassifier,0.067998648,0.495,0.693176265,
2,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,AdaBoostClassifier,0.067028284,0.4725,0.692795333,
3,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,AdaBoostClassifier,0.067024708,0.4875,0.693676423,
4,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,AdaBoostClassifier,0.066999197,0.455,0.694760629,
5,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,AdaBoostClassifier,0.067998648,0.4975,0.693175435,
6,Hill_Valley_with_noise,1212,100,AdaBoostClassifier,1.175003052,0.521452145,0.692220072,
7,Hill_Valley_without_noise,1212,100,AdaBoostClassifier,1.18903017,0.524752475,0.694170513,
8,adult,48842,14,AdaBoostClassifier,1.092975616,0.858406355,0.658453226,
9,agaricus_lepiota,8145,22,AdaBoostClassifier,0.159001112,1,0.496178176,
10,chess,3196,36,AdaBoostClassifier,0.093999863,0.971214018,0.578362106,
11,churn,5000,20,AdaBoostClassifier,0.344035149,0.8896,0.663508163,
12,clean2,6598,168,AdaBoostClassifier,0.042007446,1,2.22E-16,
13,coil2000,9822,85,AdaBoostClassifier,0.504966974,0.939739414,0.651222074,
14,credit_g,1000,20,AdaBoostClassifier,0.069998264,0.736,0.679428856,
15,dis,3772,29,AdaBoostClassifier,0.121031284,0.985153765,0.482471927,
16,flare,1066,10,AdaBoostClassifier,0.05500555,0.853932584,0.677118618,
17,german,1000,20,AdaBoostClassifier,0.070999861,0.756,0.679659379,
18,hypothyroid,3163,25,AdaBoostClassifier,0.108999252,0.986093552,0.548924516,
19,kr_vs_kp,3196,36,AdaBoostClassifier,0.102000237,0.971214018,0.536948064,
20,magic,19020,10,AdaBoostClassifier,1.765998363,0.832176656,0.675139155,
21,mofn_3_7_10,1324,10,AdaBoostClassifier,0.060003757,1,0.561421835,
22,mushroom,8124,22,AdaBoostClassifier,0.168000221,1,0.448394708,
23,parity5+5,1124,10,AdaBoostClassifier,0.057002783,0.430604982,0.693350169,
24,phoneme,5404,5,AdaBoostClassifier,0.238376379,0.820873427,0.649832339,
25,ring,7400,20,AdaBoostClassifier,1.06204772,0.949189189,0.618713441,
26,spambase,4601,57,AdaBoostClassifier,0.351378679,0.948740226,0.622313833,
27,twonorm,7400,20,AdaBoostClassifier,1.504409075,0.963243243,0.608026612,
28,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,BaggingClassifier,1.293996334,0.535,0.735738814,
29,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,BaggingClassifier,0.051030159,0.5325,0.995282892,
30,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,BaggingClassifier,0.048001289,0.6225,0.756747712,
31,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,BaggingClassifier,0.05002594,0.52,1.211649769,
32,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,BaggingClassifier,0.0470047,0.5625,0.793739593,
33,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,BaggingClassifier,0.046967506,0.64,0.756145402,
34,Hill_Valley_with_noise,1212,100,BaggingClassifier,1.794000149,0.531353135,1.584237533,
35,Hill_Valley_without_noise,1212,100,BaggingClassifier,2.08302927,0.544554455,2.350232228,
36,adult,48842,14,BaggingClassifier,1.77925539,0.840062239,1.004723661,
37,agaricus_lepiota,8145,22,BaggingClassifier,0.04853487,1,0.00021909,
38,chess,3196,36,BaggingClassifier,0.034999847,0.991239049,0.233997427,
39,churn,5000,20,BaggingClassifier,0.566296101,0.9488,0.711046166,
40,clean2,6598,168,BaggingClassifier,0.307000637,1,2.22E-16,
41,coil2000,9822,85,BaggingClassifier,0.719998837,0.925488599,1.129413375,
42,credit_g,1000,20,BaggingClassifier,0.047998905,0.756,1.033060483,
43,dis,3772,29,BaggingClassifier,0.068000078,0.987274655,0.068839329,
44,flare,1066,10,BaggingClassifier,0.018998384,0.816479401,1.979460641,
45,german,1000,20,BaggingClassifier,0.051509857,0.704,0.933962091,
46,hypothyroid,3163,25,BaggingClassifier,0.050000668,0.98482933,0.165427519,
47,kr_vs_kp,3196,36,BaggingClassifier,0.033035278,0.998748436,0.008894072,
48,magic,19020,10,BaggingClassifier,3.621073961,0.867507886,0.876681863,
49,mofn_3_7_10,1324,10,BaggingClassifier,0.017033815,1,0.013744311,
50,mushroom,8124,22,BaggingClassifier,0.040030003,1,2.22E-16,
51,parity5+5,1124,10,BaggingClassifier,0.02699852,0.59430605,0.610887667,
52,phoneme,5404,5,BaggingClassifier,0.263076782,0.89119171,0.563254804,
53,ring,7400,20,BaggingClassifier,2.954406977,0.932972973,0.353708088,
54,spambase,4601,57,BaggingClassifier,0.722027779,0.943527368,0.465259705,
55,twonorm,7400,20,BaggingClassifier,2.031998873,0.938378378,0.207267451,
56,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,BernoulliNB,0.024002075,0.46,1.113086308,
57,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,BernoulliNB,0.000999689,0.51,0.702280149,
58,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,BernoulliNB,0.00099802,0.485,0.709329665,
59,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,BernoulliNB,0.001998425,0.485,0.706555512,
60,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,BernoulliNB,0.000998259,0.48,0.705128332,
61,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,BernoulliNB,0.001999617,0.5025,0.703870115,
62,Hill_Valley_with_noise,1212,100,BernoulliNB,0.001036882,0.475247525,0.694344988,
63,Hill_Valley_without_noise,1212,100,BernoulliNB,0.001998425,0.478547855,0.693205595,
64,adult,48842,14,BernoulliNB,0.007998943,0.732290558,0.469825463,
65,agaricus_lepiota,8145,22,BernoulliNB,0.001969099,0.834560628,0.39743273,
66,chess,3196,36,BernoulliNB,0.001999855,0.882352941,0.296615702,
67,churn,5000,20,BernoulliNB,0.001997709,0.8456,0.386834402,
68,clean2,6598,168,BernoulliNB,0.01300025,0.764848485,1.468581624,
69,coil2000,9822,85,BernoulliNB,0.007970095,0.896172638,0.295120651,
70,credit_g,1000,20,BernoulliNB,0.000998974,0.684,0.597456507,
71,dis,3772,29,BernoulliNB,0.000985146,0.984093319,0.078130513,
72,flare,1066,10,BernoulliNB,0.00099349,0.857677903,0.409133878,
73,german,1000,20,BernoulliNB,0.001000166,0.684,0.571974589,
74,hypothyroid,3163,25,BernoulliNB,0.001995325,0.960809102,0.155995584,
75,kr_vs_kp,3196,36,BernoulliNB,0.002023458,0.837296621,0.337407801,
76,magic,19020,10,BernoulliNB,0.003030539,0.638906414,0.645367179,
77,mofn_3_7_10,1324,10,BernoulliNB,0.001028538,0.858006042,0.213248367,
78,mushroom,8124,22,BernoulliNB,0.003000975,0.871984244,0.364419174,
79,parity5+5,1124,10,BernoulliNB,0.000970125,0.427046263,0.705190254,
80,phoneme,5404,5,BernoulliNB,0.002001047,0.712805329,0.531651913,
81,ring,7400,20,BernoulliNB,0.003028393,0.805945946,0.431823773,
82,spambase,4601,57,BernoulliNB,0.004002333,0.880104257,0.620622681,
83,twonorm,7400,20,BernoulliNB,0.002999067,0.940540541,0.145377112,
84,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,CalibratedClassifierCV,1.297952652,0.4725,0.697316036,
85,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,CalibratedClassifierCV,0.017000914,0.495,0.695102781,
86,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,CalibratedClassifierCV,0.019028664,0.52,0.693077338,
87,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,CalibratedClassifierCV,0.016010284,0.4825,0.697107905,
88,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,CalibratedClassifierCV,0.016999483,0.525,0.69189603,
89,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,CalibratedClassifierCV,0.019988298,0.495,0.694095341,
90,Hill_Valley_with_noise,1212,100,CalibratedClassifierCV,1.50003171,0.801980198,0.532196986,
91,Hill_Valley_without_noise,1212,100,CalibratedClassifierCV,0.425999641,0.792079208,0.488033871,
92,adult,48842,14,CalibratedClassifierCV,0.487999439,0.803374007,0.492680239,
93,agaricus_lepiota,8145,22,CalibratedClassifierCV,0.212022305,0.945999018,0.151484954,
94,chess,3196,36,CalibratedClassifierCV,0.067001343,0.964956195,0.108467952,
95,churn,5000,20,CalibratedClassifierCV,0.271996975,0.8608,0.329830448,
96,clean2,6598,168,CalibratedClassifierCV,0.805998325,1,0.002577291,
97,coil2000,9822,85,CalibratedClassifierCV,1.436027527,0.939332248,0.209200193,
98,credit_g,1000,20,CalibratedClassifierCV,0.032998085,0.736,0.526586955,
99,dis,3772,29,CalibratedClassifierCV,0.088998795,0.985153765,0.071827225,
100,flare,1066,10,CalibratedClassifierCV,0.018998623,0.857677903,0.366397017,
101,german,1000,20,CalibratedClassifierCV,0.023999214,0.752,0.519513704,
102,hypothyroid,3163,25,CalibratedClassifierCV,0.068999052,0.968394437,0.110225285,
103,kr_vs_kp,3196,36,CalibratedClassifierCV,0.077997684,0.967459324,0.082939452,
104,magic,19020,10,CalibratedClassifierCV,0.288998842,0.779390116,0.462854879,
105,mofn_3_7_10,1324,10,CalibratedClassifierCV,0.042999029,1,0.024480655,
106,mushroom,8124,22,CalibratedClassifierCV,0.17999649,0.946824225,0.167263097,
107,parity5+5,1124,10,CalibratedClassifierCV,0.016000748,0.555160142,0.688609564,
108,phoneme,5404,5,CalibratedClassifierCV,0.034996033,0.744633605,0.479986662,
109,ring,7400,20,CalibratedClassifierCV,0.119030714,0.767027027,0.514697023,
110,spambase,4601,57,CalibratedClassifierCV,0.127030134,0.928757602,0.267037234,
111,twonorm,7400,20,CalibratedClassifierCV,0.063993216,0.979459459,0.05950523,
112,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,DecisionTreeClassifier,0.188997269,0.495,18.20204496,
113,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,DecisionTreeClassifier,0.007998943,0.505,17.84160843,
114,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,DecisionTreeClassifier,0.006999731,0.5075,17.6648559,
115,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,DecisionTreeClassifier,0.006999969,0.495,18.20204496,
116,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,DecisionTreeClassifier,0.007996798,0.485,18.5624815,
117,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,DecisionTreeClassifier,0.00799942,0.61,14.05702482,
118,Hill_Valley_with_noise,1212,100,DecisionTreeClassifier,0.317248583,0.590759076,14.75053802,
119,Hill_Valley_without_noise,1212,100,DecisionTreeClassifier,0.382606983,0.534653465,16.7727892,
120,adult,48842,14,DecisionTreeClassifier,0.259992599,0.807141102,6.948501054,
121,agaricus_lepiota,8145,22,DecisionTreeClassifier,0.007995605,1,2.22E-16,
122,chess,3196,36,DecisionTreeClassifier,0.004002094,0.989987484,0.360887643,
123,churn,5000,20,DecisionTreeClassifier,0.085000277,0.9256,2.681647812,
124,clean2,6598,168,DecisionTreeClassifier,0.044997454,1,2.22E-16,
125,coil2000,9822,85,DecisionTreeClassifier,0.101997852,0.896172638,3.596211056,
126,credit_g,1000,20,DecisionTreeClassifier,0.006001949,0.692,11.10144524,
127,dis,3772,29,DecisionTreeClassifier,0.006999254,0.978791092,0.764446519,
128,flare,1066,10,DecisionTreeClassifier,0.001000881,0.816479401,4.130515663,
129,german,1000,20,DecisionTreeClassifier,0.00500226,0.712,10.38057218,
130,hypothyroid,3163,25,DecisionTreeClassifier,0.005025625,0.981036662,0.683507966,
131,kr_vs_kp,3196,36,DecisionTreeClassifier,0.003027201,0.998748436,0.045110955,
132,magic,19020,10,DecisionTreeClassifier,0.462028265,0.813880126,6.708440221,
133,mofn_3_7_10,1324,10,DecisionTreeClassifier,0.00200367,1,2.22E-16,
134,mushroom,8124,22,DecisionTreeClassifier,0.00502944,1,2.22E-16,
135,parity5+5,1124,10,DecisionTreeClassifier,0.002003193,0.864768683,4.874230707,
136,phoneme,5404,5,DecisionTreeClassifier,0.033000469,0.861584012,4.989017901,
137,ring,7400,20,DecisionTreeClassifier,0.4010005,0.877837838,4.40317063,
138,spambase,4601,57,DecisionTreeClassifier,0.091999054,0.913987837,3.100192603,
139,twonorm,7400,20,DecisionTreeClassifier,0.275001526,0.841621622,5.708535375,
140,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,DummyClassifier,0,0.4775,0.693934744,
141,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,DummyClassifier,0.001000166,0.4775,0.693934744,
142,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,DummyClassifier,0,0.4775,0.693934744,
143,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,DummyClassifier,0.000998735,0.4775,0.693934744,
144,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,DummyClassifier,0,0.4775,0.693934744,
145,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,DummyClassifier,0,0.4775,0.693934744,
146,Hill_Valley_with_noise,1212,100,DummyClassifier,0,0.475247525,0.694100339,
147,Hill_Valley_without_noise,1212,100,DummyClassifier,0,0.478547855,0.693194985,
148,adult,48842,14,DummyClassifier,0.001002312,0.760379985,0.55064209,
149,agaricus_lepiota,8145,22,DummyClassifier,0,0.519391262,0.69239527,
150,chess,3196,36,DummyClassifier,0.001000881,0.525657071,0.691872237,
151,churn,5000,20,DummyClassifier,0.001002789,0.856,0.412208133,
152,clean2,6598,168,DummyClassifier,0.000977516,0.849090909,0.424353978,
153,coil2000,9822,85,DummyClassifier,0,0.939739414,0.227689606,
154,credit_g,1000,20,DummyClassifier,0,0.712,0.600962343,
155,dis,3772,29,DummyClassifier,0.001001358,0.985153765,0.077254835,
156,flare,1066,10,DummyClassifier,0,0.853932584,0.419707011,
157,german,1000,20,DummyClassifier,0,0.672,0.636054401,
158,hypothyroid,3163,25,DummyClassifier,0,0.962073325,0.163231459,
159,kr_vs_kp,3196,36,DummyClassifier,0,0.515644556,0.692811392,
160,magic,19020,10,DummyClassifier,0.001002073,0.638906414,0.654393544,
161,mofn_3_7_10,1324,10,DummyClassifier,0.001001358,0.770392749,0.539224778,
162,mushroom,8124,22,DummyClassifier,0,0.511078287,0.693070851,
163,parity5+5,1124,10,DummyClassifier,0,0.46975089,0.693684027,
164,phoneme,5404,5,DummyClassifier,0.000999689,0.715766099,0.597275518,
165,ring,7400,20,DummyClassifier,0,0.511891892,0.693039916,
166,spambase,4601,57,DummyClassifier,0.000998259,0.595134666,0.675370768,
167,twonorm,7400,20,DummyClassifier,0,0.498918919,0.6931527,
168,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,ExtraTreeClassifier,0.010036945,0.4875,18.47237236,
169,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,ExtraTreeClassifier,0.002029657,0.4825,18.65259063,
170,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,ExtraTreeClassifier,0.002002478,0.565,15.67898922,
171,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,ExtraTreeClassifier,0.00299859,0.5375,16.67018969,
172,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,ExtraTreeClassifier,0.003000259,0.5575,15.94931662,
173,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,ExtraTreeClassifier,0.001997948,0.5075,17.75149929,
174,Hill_Valley_with_noise,1212,100,ExtraTreeClassifier,0.002710342,0.528052805,17.0107011,
175,Hill_Valley_without_noise,1212,100,ExtraTreeClassifier,0.003000021,0.570957096,15.46427373,
176,adult,48842,14,ExtraTreeClassifier,0.038000584,0.799443125,7.223126069,
177,agaricus_lepiota,8145,22,ExtraTreeClassifier,0.002000332,1,2.22E-16,
178,chess,3196,36,ExtraTreeClassifier,0.001999855,0.962453066,1.353328663,
179,churn,5000,20,ExtraTreeClassifier,0.00399971,0.8608,5.017276552,
180,clean2,6598,168,ExtraTreeClassifier,0.006953239,0.966060606,1.223299751,
181,coil2000,9822,85,ExtraTreeClassifier,0.014023542,0.892508143,3.742203124,
182,credit_g,1000,20,ExtraTreeClassifier,0.001023769,0.624,13.55241367,
183,dis,3772,29,ExtraTreeClassifier,0.002999067,0.978791092,0.764446519,
184,flare,1066,10,ExtraTreeClassifier,0,0.820224719,4.120991579,
185,german,1000,20,ExtraTreeClassifier,0.002001047,0.716,10.23639756,
186,hypothyroid,3163,25,ExtraTreeClassifier,0.000999451,0.962073325,1.367015931,
187,kr_vs_kp,3196,36,ExtraTreeClassifier,0.001998901,0.948685857,1.849549173,
188,magic,19020,10,ExtraTreeClassifier,0.021998882,0.791377497,7.519517174,
189,mofn_3_7_10,1324,10,ExtraTreeClassifier,0.001024008,0.936555891,2.286757466,
190,mushroom,8124,22,ExtraTreeClassifier,0.002031088,1,2.22E-16,
191,parity5+5,1124,10,ExtraTreeClassifier,0.00098753,0.419928826,20.90788435,
192,phoneme,5404,5,ExtraTreeClassifier,0.003028393,0.85492228,5.229131062,
193,ring,7400,20,ExtraTreeClassifier,0.006999969,0.836216216,5.903365933,
194,spambase,4601,57,ExtraTreeClassifier,0.00599885,0.90443093,3.413945583,
195,twonorm,7400,20,ExtraTreeClassifier,0.004999876,0.836216216,5.903365933,
196,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,ExtraTreesClassifier,0.778997421,0.4975,0.706256067,
197,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,ExtraTreesClassifier,0.280003786,0.565,0.685938437,
198,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,ExtraTreesClassifier,0.267023563,0.635,0.740971366,
199,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,ExtraTreesClassifier,0.251000643,0.5725,0.805225157,
200,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,ExtraTreesClassifier,0.250011444,0.6125,0.674813841,
201,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,ExtraTreesClassifier,0.287998438,0.625,0.652405308,
202,Hill_Valley_with_noise,1212,100,ExtraTreesClassifier,0.347029209,0.603960396,0.716468788,
203,Hill_Valley_without_noise,1212,100,ExtraTreesClassifier,0.348030567,0.580858086,0.758265068,
204,adult,48842,14,ExtraTreesClassifier,3.449023247,0.84227336,0.46265053,
205,agaricus_lepiota,8145,22,ExtraTreesClassifier,0.178997755,1,0.000158942,
206,chess,3196,36,ExtraTreesClassifier,0.195037365,0.987484355,0.060938506,
207,churn,5000,20,ExtraTreesClassifier,0.367998362,0.9384,0.20751809,
208,clean2,6598,168,ExtraTreesClassifier,0.730995893,0.995757576,0.037293401,
209,coil2000,9822,85,ExtraTreesClassifier,1.267001629,0.921824104,0.842266083,
210,credit_g,1000,20,ExtraTreesClassifier,0.156030178,0.768,0.484631632,
211,dis,3772,29,ExtraTreesClassifier,0.157977581,0.985153765,0.033779872,
212,flare,1066,10,ExtraTreesClassifier,0.102022886,0.823970037,2.843762934,
213,german,1000,20,ExtraTreesClassifier,0.151032448,0.744,0.506777496,
214,hypothyroid,3163,25,ExtraTreesClassifier,0.152029991,0.983565107,0.052505532,
215,kr_vs_kp,3196,36,ExtraTreesClassifier,0.183026552,0.989987484,0.054244646,
216,magic,19020,10,ExtraTreesClassifier,1.476029158,0.875709779,0.314952876,
217,mofn_3_7_10,1324,10,ExtraTreesClassifier,0.108018398,0.990936556,0.08665358,
218,mushroom,8124,22,ExtraTreesClassifier,0.164340496,1,3.47E-05,
219,parity5+5,1124,10,ExtraTreesClassifier,0.164147139,0.466192171,0.661289434,
220,phoneme,5404,5,ExtraTreesClassifier,0.319028616,0.910436714,0.249598607,
221,ring,7400,20,ExtraTreesClassifier,0.61500144,0.972972973,0.18969466,
222,spambase,4601,57,ExtraTreesClassifier,0.520998716,0.958297133,0.175109917,
223,twonorm,7400,20,ExtraTreesClassifier,0.558001041,0.971891892,0.195011905,
224,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,GaussianNB,0.012024403,0.47,4.326215373,
225,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,GaussianNB,0.000999928,0.505,0.713184347,
226,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,GaussianNB,0,0.465,0.858344323,
227,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,GaussianNB,0.001000404,0.4875,0.798374632,
228,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,GaussianNB,0.000972271,0.4725,0.793059291,
229,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,GaussianNB,0.000999689,0.495,0.759589193,
230,Hill_Valley_with_noise,1212,100,GaussianNB,0.001021624,0.508250825,6.169924858,
231,Hill_Valley_without_noise,1212,100,GaussianNB,0.001999617,0.531353135,3.301529999,
232,adult,48842,14,GaussianNB,0.008971691,0.794201949,0.948288832,
233,agaricus_lepiota,8145,22,GaussianNB,0.003002644,0.924889543,0.646369702,
234,chess,3196,36,GaussianNB,0.002030611,0.634543179,2.988131814,
235,churn,5000,20,GaussianNB,0.001998425,0.8632,0.38608702,
236,clean2,6598,168,GaussianNB,0.008030176,0.882424242,2.513253463,
237,coil2000,9822,85,GaussianNB,0.007003069,0.120928339,24.25007278,
238,credit_g,1000,20,GaussianNB,0.00103426,0.708,0.78338057,
239,dis,3772,29,GaussianNB,0.001029968,0.242841994,24.94384529,
240,flare,1066,10,GaussianNB,0,0.808988764,0.835388152,
241,german,1000,20,GaussianNB,0.001000643,0.74,0.589185492,
242,hypothyroid,3163,25,GaussianNB,0.001023293,0.231352718,18.56214786,
243,kr_vs_kp,3196,36,GaussianNB,0.002001286,0.627033792,5.540413917,
244,magic,19020,10,GaussianNB,0.002999783,0.726603575,1.043887448,
245,mofn_3_7_10,1324,10,GaussianNB,0.000999689,0.870090634,0.191340179,
246,mushroom,8124,22,GaussianNB,0.001999855,0.869030034,0.692172845,
247,parity5+5,1124,10,GaussianNB,0,0.427046263,0.705275147,
248,phoneme,5404,5,GaussianNB,0.001000166,0.752035529,0.644877451,
249,ring,7400,20,GaussianNB,0.002025366,0.979459459,0.064147251,
250,spambase,4601,57,GaussianNB,0.001973152,0.821025195,4.669965669,
251,twonorm,7400,20,GaussianNB,0.001007318,0.98,0.057017507,
252,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,GradientBoostingClassifier,3.326058865,0.505,0.744422646,
253,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,GradientBoostingClassifier,0.136894464,0.5925,0.667383365,
254,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,GradientBoostingClassifier,0.124001741,0.5525,0.698161584,
255,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,GradientBoostingClassifier,0.125035286,0.495,0.74003823,
256,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,GradientBoostingClassifier,0.130003214,0.52,0.712841109,
257,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,GradientBoostingClassifier,0.129029036,0.645,0.646735478,
258,Hill_Valley_with_noise,1212,100,GradientBoostingClassifier,6.423112392,0.557755776,0.716577106,
259,Hill_Valley_without_noise,1212,100,GradientBoostingClassifier,6.58125782,0.564356436,0.710279602,
260,adult,48842,14,GradientBoostingClassifier,4.410258055,0.866431906,0.296796466,
261,agaricus_lepiota,8145,22,GradientBoostingClassifier,0.446994066,1,0.003427128,
262,chess,3196,36,GradientBoostingClassifier,0.215007305,0.974968711,0.091891795,
263,churn,5000,20,GradientBoostingClassifier,1.750214577,0.952,0.162635412,
264,clean2,6598,168,GradientBoostingClassifier,4.219443798,1,1.12E-05,
265,coil2000,9822,85,GradientBoostingClassifier,1.833102942,0.939332248,0.206016507,
266,credit_g,1000,20,GradientBoostingClassifier,0.199132204,0.788,0.47091133,
267,dis,3772,29,GradientBoostingClassifier,0.404954433,0.987274655,0.035444961,
268,flare,1066,10,GradientBoostingClassifier,0.078999758,0.846441948,0.414481375,
269,german,1000,20,GradientBoostingClassifier,0.174031734,0.784,0.511663187,
